,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
0,None,88, None,97,None,1,None,9
1,None,88, None,97,None,1,None,9
2,None,88, None,97,None,1,None,9
3,None,88, None,97,None,1,None,9
4,None,88, None,97,None,1,None,9
5,None,88, None,97,None,1,None,9
6,None,88, None,97,None,1,None,9
7,None,88, None,97,None,1,None,9
8,None,88, None,97,None,1,None,9
9,None,88, None,97,None,1,None,9
10,None,88, None,97,None,1,None,9
11,None,88, None,97,None,1,None,9
12,None,88, None,97,None,1,None,9
13,None,88, None,97,None,1,None,9
14,None,88, None,97,None,1,None,9
15,None,88, None,97,None,1,None,9
16,None,88, None,97,None,1,None,9
17,None,88, None,97,None,1,None,9
18,None,88, None,97,None,1,None,9
19,None,88, None,97,None,1,None,9
20,None,88, None,97,None,1,None,9
21,None,88, None,97,None,1,None,9
22,None,88, None,97,None,1,None,9
23,None,88, None,97,None,1,None,9
24,None,88, None,97,None,1,None,9
25,None,88, None,97,None,1,None,9
26,None,88, None,97,None,1,None,9
27,None,88, None,97,None,1,None,9
28,None,88, None,97,None,1,None,9
29,None,88, None,97,None,1,None,9
30,None,88, None,97,None,1,None,9
31,None,88, None,97,None,1,None,9
32,None,88, None,97,None,1,None,9
33,None,88, None,97,None,1,None,9
34,None,88, None,97,None,1,None,9
35,None,88, None,97,None,1,None,9
36,None,88, None,97,None,1,None,9
37,None,88, None,97,None,1,None,9
38,None,88, None,97,None,1,None,9
39,None,88, None,97,None,1,None,9
40,None,88, None,97,None,1,None,9
41,None,88, None,97,None,1,None,9
42,None,88, None,97,None,1,None,9
43,None,88, None,97,None,1,None,9
44,None,88, None,97,None,1,None,9
45,None,88, None,97,None,1,None,9
46,None,88, None,97,None,1,None,9
47,None,88, None,97,None,1,None,9
48,None,88, None,97,None,1,None,9
49,None,88, None,97,None,1,None,9
50,None,88, None,97,None,1,None,9
51,None,88, None,97,None,1,None,9
52,None,88, None,97,None,1,None,9
53,None,88, None,97,None,1,None,9
54,None,88, None,97,None,1,None,9
55,None,88, None,97,None,1,None,9
56,None,88, None,97,None,1,None,9
57,None,88, None,97,None,1,None,9
58,None,88, None,97,None,1,None,9
59,None,88, None,97,None,1,None,9
60,None,88, None,97,None,1,None,9
61,None,88, None,97,None,1,None,9
62,None,88, None,97,None,1,None,9
63,None,88, None,97,None,1,None,9
64,None,88, None,97,None,1,None,9
65,None,88, None,97,None,1,None,9
66,None,88, None,97,None,1,None,9
67,None,88, None,97,None,1,None,9
68,None,88, None,97,None,1,None,9
69,None,88, None,97,None,1,None,9
70,None,88, None,97,None,1,None,9
71,None,88, None,97,None,1,None,9
72,None,88, None,97,None,1,None,9
73,None,88, None,97,None,1,None,9
74,Emmarentia,32, Property.CoZa - Randburg,114,Apartment,0,October,11
75,Johannesburg Central,53, Chorus Letting,25,Apartment,0,September,12
76,Marshalltown,72, Trafalgar Property Management,160,Apartment,0,March,7
77,Maboneng,70, Chorus Letting,25,Apartment,0,June,6
78,Melville,79, Sotheby's International Realty - Craighall,156,Apartment,0,October,11
79,Dunkeld West,28, ANGOR Property Specialist,4,Apartment,0,March,7
80,Westdene,135, Pryca Properties (Pty) Ltd,119,Apartment,0,April,0
81,Marshalltown,72, Framework Property Services,46,Apartment,0,April,0
82,Johannesburg Central,53, AFHCO Africa Housing Company,3,Apartment,0,August,1
83,Melrose,74, Jawitz Johannesburg North,68,Apartment,0,March,7
84,None,88, None,97,None,1,None,9
85,None,88,  ,1,None,1,None,9
86,None,88,  ,1,None,1,None,9
87,Auckland Park,5, Skye Letting,154,Townhouse,2,November,10
88,Rosebank,113, Frankie Bell's Real Estate,47,Apartment,0,March,7
89,None,88, None,97,None,1,None,9
90,None,88, None,97,None,1,None,9
91,None,88, None,97,None,1,None,9
92,None,88,  ,1,None,1,None,9
93,Oaklands,92, Jawitz Johannesburg North,68,Townhouse,2,March,7
94,Sydenham,121, You Realty,165,Apartment,0,January,4
95,Forest Town,37, Engel & Volkers Hyde Park,36,Townhouse,2,May,8
96,Rosebank,113, Frankie Bell's Real Estate,47,Apartment,0,April,0
