id,Extracted Price,Extracted Bedrooms,Extracted area,Extracted Bathrooms,Extracted Area_JHB,Extracted listing agency,Extracted Type,Extracted Available Month
20193203,5500,,0.0,0.0,None, None,None,None
20193239,4000,,0.0,0.0,None, None,None,None
20193399,6000,,0.0,0.0,None, None,None,None
20190433,16000,,0.0,0.0,None, None,None,None
20190513,3600,,45.0,0.0,None, None,None,None
20190575,4200,,55.0,0.0,None, None,None,None
20190628,15000,,0.0,0.0,None, None,None,None
20190636,5000,,65.0,0.0,None, None,None,None
20190653,14000,,0.0,0.0,None, None,None,None
20190763,10500,,0.0,0.0,None, None,None,None
20190815,8900,,0.0,0.0,None, None,None,None
20190840,11000,,0.0,0.0,None, None,None,None
20190869,9500,,0.0,0.0,None, None,None,None
20190885,10000,,0.0,0.0,None, None,None,None
20190908,13000,,0.0,0.0,None, None,None,None
20190954,4900,,79.0,0.0,None, None,None,None
20191020,10500,,0.0,0.0,None, None,None,None
20191087,6500,,45.0,0.0,None, None,None,None
20191113,8900,,0.0,0.0,None, None,None,None
20191148,5000,,55.0,0.0,None, None,None,None
20191159,5500,,0.0,0.0,None, None,None,None
20191173,14000,,0.0,0.0,None, None,None,None
20191174,10000,,0.0,0.0,None, None,None,None
20191221,13000,,0.0,0.0,None, None,None,None
20191230,15000,,0.0,0.0,None, None,None,None
20191234,8500,,0.0,0.0,None, None,None,None
20191314,19000,,0.0,0.0,None, None,None,None
20191348,7000,,106.0,0.0,None, None,None,None
20191352,6800,,0.0,0.0,None, None,None,None
20191374,7000,,0.0,0.0,None, None,None,None
20191405,7800,,0.0,0.0,None, None,None,None
20191460,10000,,0.0,0.0,None, None,None,None
20191477,12000,,57.0,0.0,None, None,None,None
20191512,11000,,0.0,0.0,None, None,None,None
20191532,28400,,0.0,0.0,None, None,None,None
20191537,16000,,0.0,0.0,None, None,None,None
20191550,10000,,0.0,0.0,None, None,None,None
20191559,33000,,0.0,0.0,None, None,None,None
20191599,6500,,0.0,0.0,None, None,None,None
20191607,4950,,0.0,0.0,None, None,None,None
20191618,6600,,0.0,0.0,None, None,None,None
20191635,16000,,0.0,0.0,None, None,None,None
20191660,3100,,0.0,0.0,None, None,None,None
20191664,18000,,0.0,0.0,None, None,None,None
20191677,7500,,0.0,0.0,None, None,None,None
20191688,15000,,190.0,0.0,None, None,None,None
20191691,26000,,0.0,0.0,None, None,None,None
20191708,10000,,47.0,0.0,None, None,None,None
20191728,7500,,0.0,0.0,None, None,None,None
20191752,6950,,0.0,0.0,None, None,None,None
20191781,15000,,0.0,0.0,None, None,None,None
20191783,980000,,0.0,0.0,None, None,None,None
20191792,6200,,0.0,0.0,None, None,None,None
20191829,4150,,0.0,0.0,None, None,None,None
20191841,14000,,0.0,0.0,None, None,None,None
20191885,30000,,0.0,0.0,None, None,None,None
20191886,15000,,0.0,0.0,None, None,None,None
20191941,9500,,93.0,0.0,None, None,None,None
20191962,8000,,70.0,0.0,None, None,None,None
20191969,12500,,0.0,0.0,None, None,None,None
20191974,18000,,50.0,0.0,None, None,None,None
20192001,15000,,180.0,0.0,None, None,None,None
20192094,5500,,45.0,0.0,None, None,None,None
20192108,4900,,54.0,0.0,None, None,None,None
20192118,4990,,0.0,0.0,None, None,None,None
20192123,6500,,0.0,0.0,None, None,None,None
20192125,35000,,191.0,0.0,None, None,None,None
20192133,11500,,29.0,0.0,None, None,None,None
20192154,6500,,65.0,0.0,None, None,None,None
