,Extracted Bedrooms,Extracted area,Extracted Bathrooms,Extracted Area_JHB,Extracted listing agency,Extracted Type,Extracted Available Month,RandomForestRegressor,DecisionTreeRegressor,XGBRegressor,id
0,2.0,10000.0,0.0,72,58,1,9,23289.5,4150.0,-37.437202,20192273.0
1,2.0,70.0,0.0,72,58,1,9,8088.0,7800.0,7584.885,20192286.0
2,2.0,40.0,0.0,72,58,1,9,6846.6,5625.0,5197.5933,20192333.0
3,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192350.0
4,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192375.0
5,2.0,10000.0,0.0,72,58,1,9,23289.5,4150.0,-37.437202,20192381.0
6,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192423.0
7,2.0,36.0,0.0,72,58,1,9,5697.265,6000.0,4207.62,20192436.0
8,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192442.0
9,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192462.0
10,2.0,40.0,0.0,72,58,1,9,6846.6,5625.0,5197.5933,20192480.0
11,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192492.0
12,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192494.0
13,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192497.0
14,2.0,68.0,0.0,72,58,1,9,9401.5,7800.0,8270.35,20192502.0
15,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192553.0
16,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192557.0
17,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192569.0
18,2.0,36.0,0.0,72,58,1,9,5697.265,6000.0,4207.62,20192574.0
19,2.0,30.0,0.0,72,58,1,9,5238.045,6000.0,3432.5793,20192596.0
20,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192648.0
21,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192678.0
22,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192724.0
23,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192728.0
24,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192761.0
25,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192801.0
26,2.0,55.0,0.0,72,58,1,9,6661.5,5000.0,4817.57,20192803.0
27,2.0,111.0,0.0,72,12,1,9,23720.2,5800.0,24009.707,20192805.0
28,2.0,42.0,0.0,72,58,1,9,6888.95,5800.0,5166.8325,20192838.0
29,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192870.0
30,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192884.0
31,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192898.0
32,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192965.0
33,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192971.0
34,2.0,40.0,0.0,72,58,1,9,6846.6,5625.0,5197.5933,20193028.0
35,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20193041.0
36,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20193042.0
