,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
0,None,72, None,58,None,1,None,9
1,None,72, None,58,None,1,None,9
2,None,72, None,58,None,1,None,9
3,None,72, None,58,None,1,None,9
4,None,72, None,58,None,1,None,9
5,None,72, None,58,None,1,None,9
6,None,72, None,58,None,1,None,9
7,None,72, None,58,None,1,None,9
8,None,72, None,58,None,1,None,9
9,None,72, None,58,None,1,None,9
10,None,72, None,58,None,1,None,9
11,None,72, None,58,None,1,None,9
12,None,72, None,58,None,1,None,9
13,None,72, None,58,None,1,None,9
14,None,72, None,58,None,1,None,9
15,None,72, None,58,None,1,None,9
16,None,72, None,58,None,1,None,9
17,None,72, None,58,None,1,None,9
18,None,72, None,58,None,1,None,9
19,None,72, None,58,None,1,None,9
20,None,72, None,58,None,1,None,9
21,None,72, None,58,None,1,None,9
22,None,72, None,58,None,1,None,9
23,None,72, None,58,None,1,None,9
24,None,72, None,58,None,1,None,9
25,None,72, None,58,None,1,None,9
26,None,72, None,58,None,1,None,9
27,None,72, Beds,12,None,1,None,9
28,None,72, None,58,None,1,None,9
29,None,72, None,58,None,1,None,9
30,None,72, None,58,None,1,None,9
31,None,72, None,58,None,1,None,9
32,None,72, None,58,None,1,None,9
33,None,72, None,58,None,1,None,9
34,None,72, None,58,None,1,None,9
35,None,72, None,58,None,1,None,9
36,None,72, None,58,None,1,None,9
37,None,72, None,58,None,1,None,9
38,None,72, None,58,None,1,None,9
39,None,72, None,58,None,1,None,9
40,None,72, None,58,None,1,None,9
41,City & Suburban,18, Mafadi Property Management Office,52,Apartment,0,March,7
42,None,72, None,58,None,1,None,9
43,Killarney,47, CP Inc Realtors,16,Apartment,0,February,3
44,Fairmount,30, Russell Fisher Properties,85,Townhouse,2,May,8
45,Rosebank,94, Frankie Bell's Real Estate,36,Apartment,0,April,0
46,None,72, None,58,None,1,None,9
47,None,72, None,58,None,1,None,9
48,South Hills,100, ,0,Townhouse,2,None,9
49,Craighall Park,23, Vered Estates,97,Apartment,0,April,0
50,None,72, None,58,None,1,None,9
51,None,72, ,0,None,1,None,9
52,None,72, None,58,None,1,None,9
53,Jeppestown,40, iThemba Property,103,Apartment,0,April,0
54,Parkview,85, Zareena Kara Properties,101,Townhouse,2,April,0
55,Oaklands,75, Sotheby's International Realty - Craighall,90,Apartment,0,March,7
56,None,72, None,58,None,1,None,9
57,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,March,7
58,Johannesburg Central,41, Framework Property Services,35,Apartment,0,April,0
59,None,72,  ,1,None,1,None,9
60,Melrose,56, Firzt Realty Company Firzt Realty Company,34,Apartment,0,January,4
61,Kensington,45, Rental,83,Townhouse,2,February,3
62,Jeppestown,40, iThemba Property,103,Apartment,0,April,0
63,Mondeor,63, CSi Property Group,17,Apartment,0,May,8
64,None,72, None,58,None,1,None,9
65,Craighall,22, Firzt Realty Company Firzt Realty Company,34,Apartment,0,January,4
66,Bassonia,5, PropertyCloud,72,Townhouse,2,March,7
67,Newlands,70, Property Shop,67,Townhouse,2,May,8
68,None,72, None,58,None,1,None,9
69,None,72,Townhouse to rent in Glenhazel - Johannesburg,116,None,1,None,9
70,Killarney,47, Key Location,46,Apartment,0,May,8
71,Sydenham,102, You Realty,100,Apartment,0,February,3
72,None,72, None,58,None,1,None,9
73,Bezuidenhout Valley,8, Trafalgar Property Management,93,Apartment,0,March,7
74,Parkhurst,82, Rental,83,Apartment,0,April,0
75,Melrose Arch,57, Rental,83,Apartment,0,April,0
76,Killarney,47, Rental,83,Apartment,0,February,3
77,None,72, None,58,None,1,None,9
78,Rosettenville,95, Framework Property Services,35,Apartment,0,May,8
79,Vrededorp,108, Rental,83,Apartment,0,February,3
80,Waverley,109, Russell Fisher Properties,85,Apartment,0,March,7
81,None,72,  ,1,None,1,None,9
82,Craighall Park,23, RE/MAX Executive Group - Dainfern,76,Apartment,0,February,3
83,None,72, None,58,None,1,None,9
84,Rosettenville,95, Framework Property Services,35,Apartment,0,May,8
85,Johannesburg Central,41, Framework Property Services,35,Apartment,0,March,7
86,Corlett Gardens,20, You Realty,100,Townhouse,2,March,7
87,None,72,  ,1,None,1,None,9
88,Melrose North,59, Vered Estates,97,Apartment,0,January,4
89,Westcliff,110, Rental,83,Apartment,0,January,4
90,Rosebank,94, Rental,83,Apartment,0,March,7
91,None,72, None,58,None,1,None,9
92,Melrose North,59, Rawson Properties Florida,79,Apartment,0,April,0
93,Winchester Hills,113, Boss Platinum Real Estate,14,Apartment,0,February,3
94,Auckland Park,4, National Letting - Johannesburg,55,Apartment,0,November,10
95,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,February,3
96,None,72, None,58,None,1,None,9
97,None,72, None,58,None,1,None,9
98,Hillbrow,38, Trafalgar Property Management,93,Apartment,0,March,7
99,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,February,3
100,Observatory,76, Sotheby's International Realty - Craighall,90,Apartment,0,April,0
101,Bassonia,5, PropertyCloud,72,Townhouse,2,February,3
102,Rosebank,94, RE/MAX Advantage,75,Apartment,0,April,0
103,None,72, None,58,None,1,None,9
104,Westcliff,110, Rent - A - Property,82,Apartment,0,April,0
105,Westcliff,110, Rent - A - Property,82,Townhouse,2,April,0
106,None,72, None,58,None,1,None,9
107,Killarney,47, Infinite Property Network Dynamyx,40,Apartment,0,January,4
108,Parkview,85, Etchells & Young Property Brokers,32,Apartment,0,October,11
109,Rosebank,94, You Realty,100,Apartment,0,April,0
110,Melrose,56, Firzt Realty Company Firzt Realty Company,34,Apartment,0,February,3
111,Melrose,56, Firzt Realty Company Firzt Realty Company,34,Apartment,0,January,4
112,Parktown,83, Rowcor Properties Eleanor Jacobs,84,Apartment,0,April,0
113,Melrose Arch,57, PropertyTime,73,Apartment,0,March,7
114,Glenvista,35, Lencar Exclusive Properties,50,Townhouse,2,February,3
115,Jeppestown,40, iThemba Property,103,Apartment,0,April,0
116,None,72, None,58,None,1,None,9
117,Houghton Estate,39, Property.Coza - Bryanston/Lonehill,71,Townhouse,2,March,7
118,Ridgeway,89, Astrodon Real Estate Rentals,10,Apartment,0,February,3
119,New Doornfontein,68, Quorum Property Group,74,Apartment,0,November,10
120,None,72,  ,1,None,1,None,9
121,Houghton Estate,39, Adrienne Hersch Properties,4,Townhouse,2,April,0
122,Houghton Estate,39, Adrienne Hersch Properties,4,Townhouse,2,April,0
123,Linksfield,51, You Realty,100,Apartment,0,February,3
124,Yeoville,114, Trafalgar Property Management,93,Apartment,0,March,7
125,None,72, None,58,None,1,None,9
126,Houghton Estate,39, Rental,83,Apartment,0,April,0
127,Ormonde,80, Vartrust Real Estate,96,Townhouse,2,February,3
128,Glenvista,35, Boss Platinum Real Estate,14,Apartment,0,February,3
129,Braamfontein,13, Nkosi Property Group Office,57,Apartment,0,January,4
130,Rosebank,94, Etchells & Young Property Brokers,32,Apartment,0,December,2
131,None,72, None,58,None,1,None,9
132,None,72, None,58,None,1,None,9
133,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,March,7
134,Eltonhill,29, Vered Estates,97,Apartment,0,March,7
135,Winchester Hills,113, Harcourts Falcons,38,Townhouse,2,March,7
136,Killarney,47, Sotheby's International Realty - Craighall,90,Apartment,0,October,11
137,Rosettenville,95, Framework Property Services,35,Apartment,0,January,4
138,None,72, None,58,None,1,None,9
139,Lenasia South,48, Rental,83,Apartment,0,April,0
140,None,72, None,58,None,1,None,9
141,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,January,4
142,None,72,  ,1,None,1,None,9
143,None,72, None,58,None,1,None,9
144,Meredale,61, IHS Property Management,39,Apartment,0,May,8
145,None,72, None,58,None,1,None,9
146,Houghton Estate,39, Silver Property Group,88,Apartment,0,January,4
